Array riordinato: 
Elemento 3453: 6.65705
Elemento 3454: 6.65763
Elemento 3455: 6.65778
Elemento 3456: 6.65798
Elemento 3457: 6.65846
Elemento 3458: 6.65866
Elemento 3459: 6.65879
Elemento 3460: 6.65908
Elemento 3461: 6.65963
Elemento 3462: 6.65997
Elemento 3463: 6.66131
Elemento 3464: 6.66132
Elemento 3465: 6.66205
Elemento 3466: 6.66236
Elemento 3467: 6.66244
Elemento 3468: 6.66263
Elemento 3469: 6.6629
Elemento 3470: 6.6631
Elemento 3471: 6.66401
Elemento 3472: 6.66458
Elemento 3473: 6.66466
Elemento 3474: 6.66485
Elemento 3475: 6.66493
Elemento 3476: 6.66494
Elemento 3477: 6.66517
Elemento 3478: 6.66517
Elemento 3479: 6.66537
Elemento 3480: 6.66575
Elemento 3481: 6.66624
Elemento 3482: 6.66632
Elemento 3483: 6.66688
Elemento 3484: 6.66798
Elemento 3485: 6.66814
Elemento 3486: 6.66819
Elemento 3487: 6.66856
Elemento 3488: 6.66866
Elemento 3489: 6.67016
Elemento 3490: 6.67059
Elemento 3491: 6.6706
Elemento 3492: 6.67069
Elemento 3493: 6.67076
Elemento 3494: 6.67092
Elemento 3495: 6.67126
Elemento 3496: 6.67127
Elemento 3497: 6.67133
Elemento 3498: 6.67179
Elemento 3499: 6.6723
Elemento 3500: 6.6724
Elemento 3501: 6.67271
Elemento 3502: 6.67273
Elemento 3503: 6.67318
Elemento 3504: 6.67331
Elemento 3505: 6.67338
Elemento 3506: 6.67346
Elemento 3507: 6.67356
Elemento 3508: 6.67374
Elemento 3509: 6.67392
Elemento 3510: 6.67445
Elemento 3511: 6.67475
Elemento 3512: 6.67514
Elemento 3513: 6.67558
Elemento 3514: 6.67577
Elemento 3515: 6.6762
Elemento 3516: 6.67624
Elemento 3517: 6.67697
Elemento 3518: 6.67712
Elemento 3519: 6.67721
Elemento 3520: 6.67752
Elemento 3521: 6.67831
Elemento 3522: 6.67838
Elemento 3523: 6.67872
Elemento 3524: 6.67876
Elemento 3525: 6.67915
Elemento 3526: 6.67916
Elemento 3527: 6.6793
Elemento 3528: 6.67994
Elemento 3529: 6.68027
Elemento 3530: 6.68028
Elemento 3531: 6.68036
Elemento 3532: 6.68047
Elemento 3533: 6.6805
Elemento 3534: 6.68092
Elemento 3535: 6.68127
Elemento 3536: 6.68129
Elemento 3537: 6.6816
Elemento 3538: 6.68173
Elemento 3539: 6.68244
Elemento 3540: 6.68248
Elemento 3541: 6.68253
Elemento 3542: 6.68253
Elemento 3543: 6.68432
Elemento 3544: 6.68463
Elemento 3545: 6.68532
Elemento 3546: 6.6858
Elemento 3547: 6.68628
Elemento 3548: 6.68769
Elemento 3549: 6.68784
Elemento 3550: 6.68797
Elemento 3551: 6.68803
Elemento 3552: 6.6885
Elemento 3553: 6.68855
Elemento 3554: 6.68872
Elemento 3555: 6.68877
Elemento 3556: 6.68886
Elemento 3557: 6.68889
Elemento 3558: 6.68932
Elemento 3559: 6.68938
Elemento 3560: 6.69046
Elemento 3561: 6.691
Elemento 3562: 6.69108
Elemento 3563: 6.69137
Elemento 3564: 6.69164
Elemento 3565: 6.69212
Elemento 3566: 6.69216
Elemento 3567: 6.69229
Elemento 3568: 6.6924
Elemento 3569: 6.69242
Elemento 3570: 6.69253
Elemento 3571: 6.69268
Elemento 3572: 6.69308
Elemento 3573: 6.69328
Elemento 3574: 6.6933
Elemento 3575: 6.69346
Elemento 3576: 6.69385
Elemento 3577: 6.69388
Elemento 3578: 6.6944
Elemento 3579: 6.69486
Elemento 3580: 6.69506
Elemento 3581: 6.69507
Elemento 3582: 6.69544
Elemento 3583: 6.69552
Elemento 3584: 6.69567
Elemento 3585: 6.69635
Elemento 3586: 6.69638
Elemento 3587: 6.69716
Elemento 3588: 6.69748
Elemento 3589: 6.69759
Elemento 3590: 6.69766
Elemento 3591: 6.69776
Elemento 3592: 6.69799
Elemento 3593: 6.6984
Elemento 3594: 6.69981
Elemento 3595: 6.70015
Elemento 3596: 6.70023
Elemento 3597: 6.70075
Elemento 3598: 6.70094
Elemento 3599: 6.7023
Elemento 3600: 6.70247
Elemento 3601: 6.70271
Elemento 3602: 6.70294
Elemento 3603: 6.70302
Elemento 3604: 6.70305
Elemento 3605: 6.70314
Elemento 3606: 6.7032
Elemento 3607: 6.70338
Elemento 3608: 6.70379
Elemento 3609: 6.70382
Elemento 3610: 6.70422
Elemento 3611: 6.7044
Elemento 3612: 6.70522
Elemento 3613: 6.70562
Elemento 3614: 6.70566
Elemento 3615: 6.70577
Elemento 3616: 6.70597
Elemento 3617: 6.70597
Elemento 3618: 6.70599
Elemento 3619: 6.70609
Elemento 3620: 6.70629
Elemento 3621: 6.70631
Elemento 3622: 6.70634
Elemento 3623: 6.70703
Elemento 3624: 6.70716
Elemento 3625: 6.70814
Elemento 3626: 6.70882
Elemento 3627: 6.70885
Elemento 3628: 6.70952
Elemento 3629: 6.7099
Elemento 3630: 6.71011
Elemento 3631: 6.71029
Elemento 3632: 6.71034
Elemento 3633: 6.71046
Elemento 3634: 6.71114
Elemento 3635: 6.71169
Elemento 3636: 6.71169
Elemento 3637: 6.71172
Elemento 3638: 6.71175
Elemento 3639: 6.71186
Elemento 3640: 6.71195
Elemento 3641: 6.71222
Elemento 3642: 6.71233
Elemento 3643: 6.71234
Elemento 3644: 6.71244
Elemento 3645: 6.71266
Elemento 3646: 6.71274
Elemento 3647: 6.7129
Elemento 3648: 6.71331
Elemento 3649: 6.71352
Elemento 3650: 6.71409
Elemento 3651: 6.71436
Elemento 3652: 6.71441
Elemento 3653: 6.71462
Elemento 3654: 6.71473
Elemento 3655: 6.71481
Elemento 3656: 6.715
Elemento 3657: 6.7152
Elemento 3658: 6.71533
Elemento 3659: 6.7155
Elemento 3660: 6.71556
Elemento 3661: 6.71576
Elemento 3662: 6.71658
Elemento 3663: 6.71677
Elemento 3664: 6.7176
Elemento 3665: 6.7177
Elemento 3666: 6.718
Elemento 3667: 6.71849
Elemento 3668: 6.71858
Elemento 3669: 6.71861
Elemento 3670: 6.71877
Elemento 3671: 6.71885
Elemento 3672: 6.71888
Elemento 3673: 6.71939
Elemento 3674: 6.71964
Elemento 3675: 6.71982
Elemento 3676: 6.71989
Elemento 3677: 6.71991
Elemento 3678: 6.72036
Elemento 3679: 6.72079
Elemento 3680: 6.72087
Elemento 3681: 6.72096
Elemento 3682: 6.72118
Elemento 3683: 6.72155
Elemento 3684: 6.72186
Elemento 3685: 6.72213
Elemento 3686: 6.7223
Elemento 3687: 6.7224
Elemento 3688: 6.7225
Elemento 3689: 6.72269
Elemento 3690: 6.72296
Elemento 3691: 6.72302
Elemento 3692: 6.7231
Elemento 3693: 6.72328
Elemento 3694: 6.72334
Elemento 3695: 6.72348
Elemento 3696: 6.72355
Elemento 3697: 6.72401
Elemento 3698: 6.7242
Elemento 3699: 6.72422
Elemento 3700: 6.72446
Elemento 3701: 6.72468
Elemento 3702: 6.72511
Elemento 3703: 6.72534
Elemento 3704: 6.7254
Elemento 3705: 6.72551
Elemento 3706: 6.72555
Elemento 3707: 6.72607
Elemento 3708: 6.72642
Elemento 3709: 6.72685
Elemento 3710: 6.72752
Elemento 3711: 6.72781
Elemento 3712: 6.72812
Elemento 3713: 6.7282
Elemento 3714: 6.72851
Elemento 3715: 6.72872
Elemento 3716: 6.72925
Elemento 3717: 6.72929
Elemento 3718: 6.72939
Elemento 3719: 6.72941
Elemento 3720: 6.72947
Elemento 3721: 6.72955
Elemento 3722: 6.72982
Elemento 3723: 6.73001
Elemento 3724: 6.73023
Elemento 3725: 6.73029
Elemento 3726: 6.73033
Elemento 3727: 6.73088
Elemento 3728: 6.7309
Elemento 3729: 6.73122
Elemento 3730: 6.73146
Elemento 3731: 6.73151
Elemento 3732: 6.73154
Elemento 3733: 6.73184
Elemento 3734: 6.73225
Elemento 3735: 6.73281
Elemento 3736: 6.73289
Elemento 3737: 6.73321
Elemento 3738: 6.73324
Elemento 3739: 6.73338
Elemento 3740: 6.73365
Elemento 3741: 6.73378
Elemento 3742: 6.73381
Elemento 3743: 6.73388
Elemento 3744: 6.73393
Elemento 3745: 6.73433
Elemento 3746: 6.73434
Elemento 3747: 6.7345
Elemento 3748: 6.7346
Elemento 3749: 6.73497
Elemento 3750: 6.73508
Elemento 3751: 6.73538
Elemento 3752: 6.73589
Elemento 3753: 6.73599
Elemento 3754: 6.73634
Elemento 3755: 6.73657
Elemento 3756: 6.73672
Elemento 3757: 6.73673
Elemento 3758: 6.73673
Elemento 3759: 6.73685
Elemento 3760: 6.73717
Elemento 3761: 6.73742
Elemento 3762: 6.73744
Elemento 3763: 6.73751
Elemento 3764: 6.73762
Elemento 3765: 6.73766
Elemento 3766: 6.73776
Elemento 3767: 6.73777
Elemento 3768: 6.73802
Elemento 3769: 6.73819
Elemento 3770: 6.73842
Elemento 3771: 6.73878
Elemento 3772: 6.73934
Elemento 3773: 6.73946
Elemento 3774: 6.73961
Elemento 3775: 6.73965
Elemento 3776: 6.73977
Elemento 3777: 6.74058
Elemento 3778: 6.74071
Elemento 3779: 6.74111
Elemento 3780: 6.74113
Elemento 3781: 6.74156
Elemento 3782: 6.74204
Elemento 3783: 6.74204
Elemento 3784: 6.74209
Elemento 3785: 6.74212
Elemento 3786: 6.74231
Elemento 3787: 6.74272
Elemento 3788: 6.74324
Elemento 3789: 6.74328
Elemento 3790: 6.74341
Elemento 3791: 6.74357
Elemento 3792: 6.74361
Elemento 3793: 6.74365
Elemento 3794: 6.74367
Elemento 3795: 6.74435
Elemento 3796: 6.74473
Elemento 3797: 6.74475
Elemento 3798: 6.7448
Elemento 3799: 6.74523
Elemento 3800: 6.74527
Elemento 3801: 6.74545
Elemento 3802: 6.74553
Elemento 3803: 6.74562
Elemento 3804: 6.74588
Elemento 3805: 6.74593
Elemento 3806: 6.74633
Elemento 3807: 6.74648
Elemento 3808: 6.74649
Elemento 3809: 6.74675
Elemento 3810: 6.74677
Elemento 3811: 6.74717
Elemento 3812: 6.74725
Elemento 3813: 6.74735
Elemento 3814: 6.74738
Elemento 3815: 6.74861
Elemento 3816: 6.74866
Elemento 3817: 6.74902
Elemento 3818: 6.74921
Elemento 3819: 6.7494
Elemento 3820: 6.7496
Elemento 3821: 6.74976
Elemento 3822: 6.74979
Elemento 3823: 6.74999
Elemento 3824: 6.75029
Elemento 3825: 6.75069
Elemento 3826: 6.75076
Elemento 3827: 6.75088
Elemento 3828: 6.75089
Elemento 3829: 6.75095
Elemento 3830: 6.7512
Elemento 3831: 6.75128
Elemento 3832: 6.7514
Elemento 3833: 6.75149
Elemento 3834: 6.75153
Elemento 3835: 6.75212
Elemento 3836: 6.75215
Elemento 3837: 6.75234
Elemento 3838: 6.75259
Elemento 3839: 6.7527
Elemento 3840: 6.75297
Elemento 3841: 6.75298
Elemento 3842: 6.75332
Elemento 3843: 6.75332
Elemento 3844: 6.75342
Elemento 3845: 6.75366
Elemento 3846: 6.75393
Elemento 3847: 6.7541
Elemento 3848: 6.75418
Elemento 3849: 6.75433
Elemento 3850: 6.75455
Elemento 3851: 6.75508
Elemento 3852: 6.75524
Elemento 3853: 6.75546
Elemento 3854: 6.75556
Elemento 3855: 6.75596
Elemento 3856: 6.7562
Elemento 3857: 6.75628
Elemento 3858: 6.75631
Elemento 3859: 6.75644
Elemento 3860: 6.75671
Elemento 3861: 6.75674
Elemento 3862: 6.75709
Elemento 3863: 6.75848
Elemento 3864: 6.75848
Elemento 3865: 6.75857
Elemento 3866: 6.75869
Elemento 3867: 6.75883
Elemento 3868: 6.7589
Elemento 3869: 6.7596
Elemento 3870: 6.75975
Elemento 3871: 6.76024
Elemento 3872: 6.76025
Elemento 3873: 6.76065
Elemento 3874: 6.76091
Elemento 3875: 6.76093
Elemento 3876: 6.76101
Elemento 3877: 6.76107
Elemento 3878: 6.76132
Elemento 3879: 6.76154
Elemento 3880: 6.76179
Elemento 3881: 6.7619
Elemento 3882: 6.76229
Elemento 3883: 6.76237
Elemento 3884: 6.76265
Elemento 3885: 6.76358
Elemento 3886: 6.76361
Elemento 3887: 6.76372
Elemento 3888: 6.76378
Elemento 3889: 6.76399
Elemento 3890: 6.76407
Elemento 3891: 6.76454
Elemento 3892: 6.76478
Elemento 3893: 6.76486
Elemento 3894: 6.7649
Elemento 3895: 6.76534
Elemento 3896: 6.76554
Elemento 3897: 6.76561
Elemento 3898: 6.76611
Elemento 3899: 6.76612
Elemento 3900: 6.76631
Elemento 3901: 6.76631
Elemento 3902: 6.76639
Elemento 3903: 6.76646
Elemento 3904: 6.7667
Elemento 3905: 6.76776
Elemento 3906: 6.76863
Elemento 3907: 6.76873
Elemento 3908: 6.76889
Elemento 3909: 6.76907
Elemento 3910: 6.76919
Elemento 3911: 6.76952
Elemento 3912: 6.77001
Elemento 3913: 6.77026
Elemento 3914: 6.77044
Elemento 3915: 6.77046
Elemento 3916: 6.77049
Elemento 3917: 6.77062
Elemento 3918: 6.77069
Elemento 3919: 6.77076
Elemento 3920: 6.77113
Elemento 3921: 6.77172
Elemento 3922: 6.77197
Elemento 3923: 6.77207
Elemento 3924: 6.77234
Elemento 3925: 6.77279
Elemento 3926: 6.77289
Elemento 3927: 6.7729
Elemento 3928: 6.77295
Elemento 3929: 6.77297
Elemento 3930: 6.77324
Elemento 3931: 6.77328
Elemento 3932: 6.77338
Elemento 3933: 6.77348
Elemento 3934: 6.77365
Elemento 3935: 6.77438
Elemento 3936: 6.77505
Elemento 3937: 6.77624
Elemento 3938: 6.77638
Elemento 3939: 6.77643
Elemento 3940: 6.7766
Elemento 3941: 6.77675
Elemento 3942: 6.77716
Elemento 3943: 6.77729
Elemento 3944: 6.77751
Elemento 3945: 6.77755
Elemento 3946: 6.7777
Elemento 3947: 6.7783
Elemento 3948: 6.77839
Elemento 3949: 6.77885
Elemento 3950: 6.77895
Elemento 3951: 6.77911
Elemento 3952: 6.77942
Elemento 3953: 6.77961
Elemento 3954: 6.77979
Elemento 3955: 6.77983
Elemento 3956: 6.77983
Elemento 3957: 6.78013
Elemento 3958: 6.78014
Elemento 3959: 6.7806
Elemento 3960: 6.78062
Elemento 3961: 6.78085
Elemento 3962: 6.78098
Elemento 3963: 6.78108
Elemento 3964: 6.7811
Elemento 3965: 6.7812
Elemento 3966: 6.78193
Elemento 3967: 6.78279
Elemento 3968: 6.78281
Elemento 3969: 6.78289
Elemento 3970: 6.7836
Elemento 3971: 6.78381
Elemento 3972: 6.78433
Elemento 3973: 6.78455
Elemento 3974: 6.78461
Elemento 3975: 6.78496
Elemento 3976: 6.78497
Elemento 3977: 6.78518
Elemento 3978: 6.78545
Elemento 3979: 6.78545
Elemento 3980: 6.78547
Elemento 3981: 6.78597
Elemento 3982: 6.78601
Elemento 3983: 6.78619
Elemento 3984: 6.78637
Elemento 3985: 6.78645
Elemento 3986: 6.7865
Elemento 3987: 6.78662
Elemento 3988: 6.78704
Elemento 3989: 6.78709
Elemento 3990: 6.78715
Elemento 3991: 6.78741
Elemento 3992: 6.78741
Elemento 3993: 6.78803
Elemento 3994: 6.78818
Elemento 3995: 6.78821
Elemento 3996: 6.78853
Elemento 3997: 6.78858
Elemento 3998: 6.78862
Elemento 3999: 6.78888
Elemento 4000: 6.7892
Elemento 4001: 6.78959
Elemento 4002: 6.7896
Elemento 4003: 6.78984
Elemento 4004: 6.78985
Elemento 4005: 6.79004
Elemento 4006: 6.79006
Elemento 4007: 6.79006
Elemento 4008: 6.7903
Elemento 4009: 6.79041
Elemento 4010: 6.79087
Elemento 4011: 6.79124
Elemento 4012: 6.79132
Elemento 4013: 6.79142
Elemento 4014: 6.79177
Elemento 4015: 6.79181
Elemento 4016: 6.79249
Elemento 4017: 6.7929
Elemento 4018: 6.79339
Elemento 4019: 6.79375
Elemento 4020: 6.79407
Elemento 4021: 6.79412
Elemento 4022: 6.79426
Elemento 4023: 6.79491
Elemento 4024: 6.79497
Elemento 4025: 6.79557
Elemento 4026: 6.79565
Elemento 4027: 6.79566
Elemento 4028: 6.79587
Elemento 4029: 6.79601
Elemento 4030: 6.79608
Elemento 4031: 6.79626
Elemento 4032: 6.79646
Elemento 4033: 6.79648
Elemento 4034: 6.79658
Elemento 4035: 6.79667
Elemento 4036: 6.79672
Elemento 4037: 6.79734
Elemento 4038: 6.79741
Elemento 4039: 6.79746
Elemento 4040: 6.79775
Elemento 4041: 6.79844
Elemento 4042: 6.79847
Elemento 4043: 6.79851
Elemento 4044: 6.79856
Elemento 4045: 6.79882
Elemento 4046: 6.79901
Elemento 4047: 6.79906
Elemento 4048: 6.79927
Elemento 4049: 6.7993
Elemento 4050: 6.79932
Elemento 4051: 6.80009
Elemento 4052: 6.80019
Elemento 4053: 6.80029
Elemento 4054: 6.80063
Elemento 4055: 6.80072
Elemento 4056: 6.80091
Elemento 4057: 6.80138
Elemento 4058: 6.80219
Elemento 4059: 6.8022
Elemento 4060: 6.80244
Elemento 4061: 6.80252
Elemento 4062: 6.80253
Elemento 4063: 6.80254
Elemento 4064: 6.80265
Elemento 4065: 6.80273
Elemento 4066: 6.80275
Elemento 4067: 6.80309
Elemento 4068: 6.80342
Elemento 4069: 6.80348
Elemento 4070: 6.80363
Elemento 4071: 6.80421
Elemento 4072: 6.8044
Elemento 4073: 6.80446
Elemento 4074: 6.80455
Elemento 4075: 6.80467
Elemento 4076: 6.80488
Elemento 4077: 6.80493
Elemento 4078: 6.80514
Elemento 4079: 6.80543
Elemento 4080: 6.80545
Elemento 4081: 6.8055
Elemento 4082: 6.80551
Elemento 4083: 6.80617
Elemento 4084: 6.80639
Elemento 4085: 6.80646
Elemento 4086: 6.80662
Elemento 4087: 6.80665
Elemento 4088: 6.80672
Elemento 4089: 6.80713
Elemento 4090: 6.80719
Elemento 4091: 6.80748
Elemento 4092: 6.80801
Elemento 4093: 6.80818
Elemento 4094: 6.80824
Elemento 4095: 6.80833
Elemento 4096: 6.8085
Elemento 4097: 6.80875
Elemento 4098: 6.80892
Elemento 4099: 6.80903
Elemento 4100: 6.80904
Elemento 4101: 6.80917
Elemento 4102: 6.80964
Elemento 4103: 6.80969
Elemento 4104: 6.80995
Elemento 4105: 6.80996
Elemento 4106: 6.80997
Elemento 4107: 6.81039
Elemento 4108: 6.81071
Elemento 4109: 6.81077
Elemento 4110: 6.8108
Elemento 4111: 6.81091
Elemento 4112: 6.81111
Elemento 4113: 6.81183
Elemento 4114: 6.8123
Elemento 4115: 6.81263
Elemento 4116: 6.81302
Elemento 4117: 6.81379
Elemento 4118: 6.81383
Elemento 4119: 6.81391
Elemento 4120: 6.81395
Elemento 4121: 6.81415
Elemento 4122: 6.81425
Elemento 4123: 6.81494
Elemento 4124: 6.81553
Elemento 4125: 6.81558
Elemento 4126: 6.81571
Elemento 4127: 6.81595
Elemento 4128: 6.8161
Elemento 4129: 6.81637
Elemento 4130: 6.81758
Elemento 4131: 6.81778
Elemento 4132: 6.81798
Elemento 4133: 6.81798
Elemento 4134: 6.81843
Elemento 4135: 6.81871
Elemento 4136: 6.81882
Elemento 4137: 6.8189
Elemento 4138: 6.8191
Elemento 4139: 6.81916
Elemento 4140: 6.81921
Elemento 4141: 6.81939
Elemento 4142: 6.81963
Elemento 4143: 6.81973
Elemento 4144: 6.81977
Elemento 4145: 6.82007
Elemento 4146: 6.82024
Elemento 4147: 6.82082
Elemento 4148: 6.82128
Elemento 4149: 6.82142
Elemento 4150: 6.82163
Elemento 4151: 6.82186
Elemento 4152: 6.82201
Elemento 4153: 6.82249
Elemento 4154: 6.82254
Elemento 4155: 6.82269
Elemento 4156: 6.82275
Elemento 4157: 6.8228
Elemento 4158: 6.82293
Elemento 4159: 6.82317
Elemento 4160: 6.82365
Elemento 4161: 6.82371
Elemento 4162: 6.8238
Elemento 4163: 6.82403
Elemento 4164: 6.82405
Elemento 4165: 6.82422
Elemento 4166: 6.82433
Elemento 4167: 6.82502
Elemento 4168: 6.82514
Elemento 4169: 6.82572
Elemento 4170: 6.82582
Elemento 4171: 6.82629
Elemento 4172: 6.82641
Elemento 4173: 6.82655
Elemento 4174: 6.82739
Elemento 4175: 6.82758
Elemento 4176: 6.8278
Elemento 4177: 6.82796
Elemento 4178: 6.82814
Elemento 4179: 6.82834
Elemento 4180: 6.82845
Elemento 4181: 6.82874
Elemento 4182: 6.82885
Elemento 4183: 6.82914
Elemento 4184: 6.82952
Elemento 4185: 6.83013
Elemento 4186: 6.83017
Elemento 4187: 6.83059
Elemento 4188: 6.83083
Elemento 4189: 6.83089
Elemento 4190: 6.8314
Elemento 4191: 6.83144
Elemento 4192: 6.83153
Elemento 4193: 6.8317
Elemento 4194: 6.83172
Elemento 4195: 6.8318
Elemento 4196: 6.83184
Elemento 4197: 6.83191
Elemento 4198: 6.83201
Elemento 4199: 6.8325
Elemento 4200: 6.8325
Elemento 4201: 6.83311
Elemento 4202: 6.83372
Elemento 4203: 6.8338
Elemento 4204: 6.83402
Elemento 4205: 6.83403
Elemento 4206: 6.83407
Elemento 4207: 6.83445
Elemento 4208: 6.83472
Elemento 4209: 6.8348
Elemento 4210: 6.83481
Elemento 4211: 6.83483
Elemento 4212: 6.83517
Elemento 4213: 6.83558
Elemento 4214: 6.83582
Elemento 4215: 6.8359
Elemento 4216: 6.83598
Elemento 4217: 6.83631
Elemento 4218: 6.83632
Elemento 4219: 6.83678
Elemento 4220: 6.83696
Elemento 4221: 6.83699
Elemento 4222: 6.83714
Elemento 4223: 6.83749
Elemento 4224: 6.8376
Elemento 4225: 6.83763
Elemento 4226: 6.83767
Elemento 4227: 6.8385
Elemento 4228: 6.83852
Elemento 4229: 6.83885
Elemento 4230: 6.8391
Elemento 4231: 6.83916
Elemento 4232: 6.83917
Elemento 4233: 6.83934
Elemento 4234: 6.8394
Elemento 4235: 6.83947
Elemento 4236: 6.83991
Elemento 4237: 6.84012
Elemento 4238: 6.84049
Elemento 4239: 6.84091
Elemento 4240: 6.8412
Elemento 4241: 6.84226
Elemento 4242: 6.84284
Elemento 4243: 6.84291
Elemento 4244: 6.84307
Elemento 4245: 6.84313
Elemento 4246: 6.84322
Elemento 4247: 6.84369
Elemento 4248: 6.84395
Elemento 4249: 6.8441
Elemento 4250: 6.84424
Elemento 4251: 6.84435
Elemento 4252: 6.84502
Elemento 4253: 6.8451
Elemento 4254: 6.84519
Elemento 4255: 6.8452
Elemento 4256: 6.84555
Elemento 4257: 6.84565
Elemento 4258: 6.84585
Elemento 4259: 6.84649
Elemento 4260: 6.84657
Elemento 4261: 6.84657
Elemento 4262: 6.84673
Elemento 4263: 6.84675
Elemento 4264: 6.84677
Elemento 4265: 6.84682
Elemento 4266: 6.84703
Elemento 4267: 6.84725
Elemento 4268: 6.84729
Elemento 4269: 6.84746
Elemento 4270: 6.84773
Elemento 4271: 6.8478
Elemento 4272: 6.84799
Elemento 4273: 6.84835
Elemento 4274: 6.8486
Elemento 4275: 6.84889
Elemento 4276: 6.84891
Elemento 4277: 6.84904
Elemento 4278: 6.84907
Elemento 4279: 6.84908
Elemento 4280: 6.84936
Elemento 4281: 6.84937
Elemento 4282: 6.84941
Elemento 4283: 6.84951
Elemento 4284: 6.84978
Elemento 4285: 6.8498
Elemento 4286: 6.85043
Elemento 4287: 6.85074
Elemento 4288: 6.85076
Elemento 4289: 6.85096
Elemento 4290: 6.85121
Elemento 4291: 6.85188
Elemento 4292: 6.85225
Elemento 4293: 6.85226
Elemento 4294: 6.85233
Elemento 4295: 6.85246
Elemento 4296: 6.85268
Elemento 4297: 6.85283
Elemento 4298: 6.85325
Elemento 4299: 6.85372
Elemento 4300: 6.85383
Elemento 4301: 6.85444
Elemento 4302: 6.85474
Elemento 4303: 6.85475
Elemento 4304: 6.85489
Elemento 4305: 6.85509
Elemento 4306: 6.85568
Elemento 4307: 6.85604
Elemento 4308: 6.85625
Elemento 4309: 6.85629
Elemento 4310: 6.85644
Elemento 4311: 6.85686
Elemento 4312: 6.85735
Elemento 4313: 6.85752
Elemento 4314: 6.85782
Elemento 4315: 6.85846
Elemento 4316: 6.85878
Elemento 4317: 6.85937
Elemento 4318: 6.85951
Elemento 4319: 6.85963
Elemento 4320: 6.85967
Elemento 4321: 6.85972
Elemento 4322: 6.8598
Elemento 4323: 6.86001
Elemento 4324: 6.86003
Elemento 4325: 6.86081
Elemento 4326: 6.86082
Elemento 4327: 6.8613
Elemento 4328: 6.86138
Elemento 4329: 6.86143
Elemento 4330: 6.86158
Elemento 4331: 6.86158
Elemento 4332: 6.86176
Elemento 4333: 6.86252
Elemento 4334: 6.86254
Elemento 4335: 6.8629
Elemento 4336: 6.86303
Elemento 4337: 6.86393
Elemento 4338: 6.86396
Elemento 4339: 6.86422
Elemento 4340: 6.86436
Elemento 4341: 6.86446
Elemento 4342: 6.86451
Elemento 4343: 6.86459
Elemento 4344: 6.86468
Elemento 4345: 6.86492
Elemento 4346: 6.86517
Elemento 4347: 6.86521
Elemento 4348: 6.86538
Elemento 4349: 6.86548
Elemento 4350: 6.86568
Elemento 4351: 6.86601
Elemento 4352: 6.86619
Elemento 4353: 6.8664
Elemento 4354: 6.86645
Elemento 4355: 6.86651
Elemento 4356: 6.86669
Elemento 4357: 6.86681
Elemento 4358: 6.86685
Elemento 4359: 6.86714
Elemento 4360: 6.86728
Elemento 4361: 6.86785
Elemento 4362: 6.86786
Elemento 4363: 6.86787
Elemento 4364: 6.86807
Elemento 4365: 6.86808
Elemento 4366: 6.86813
Elemento 4367: 6.86823
Elemento 4368: 6.86824
Elemento 4369: 6.86849
Elemento 4370: 6.86895
Elemento 4371: 6.86906
Elemento 4372: 6.86914
Elemento 4373: 6.8695
Elemento 4374: 6.86953
Elemento 4375: 6.87025
Elemento 4376: 6.87029
Elemento 4377: 6.87036
Elemento 4378: 6.87069
Elemento 4379: 6.87078
Elemento 4380: 6.87088
Elemento 4381: 6.87092
Elemento 4382: 6.87101
Elemento 4383: 6.87107
Elemento 4384: 6.87145
Elemento 4385: 6.87146
Elemento 4386: 6.87147
Elemento 4387: 6.87176
Elemento 4388: 6.87201
Elemento 4389: 6.87206
Elemento 4390: 6.87211
Elemento 4391: 6.87242
Elemento 4392: 6.87244
Elemento 4393: 6.87257
Elemento 4394: 6.87268
Elemento 4395: 6.87273
Elemento 4396: 6.87283
Elemento 4397: 6.87324
Elemento 4398: 6.87338
Elemento 4399: 6.8736
Elemento 4400: 6.87374
Elemento 4401: 6.8738
Elemento 4402: 6.87396
Elemento 4403: 6.87416
Elemento 4404: 6.87459
Elemento 4405: 6.87481
Elemento 4406: 6.87543
Elemento 4407: 6.8756
Elemento 4408: 6.8757
Elemento 4409: 6.87594
Elemento 4410: 6.87614
Elemento 4411: 6.87621
Elemento 4412: 6.87632
Elemento 4413: 6.87639
Elemento 4414: 6.8765
Elemento 4415: 6.87658
Elemento 4416: 6.87685
Elemento 4417: 6.8771
Elemento 4418: 6.8774
Elemento 4419: 6.87765
Elemento 4420: 6.87765
Elemento 4421: 6.87791
Elemento 4422: 6.87799
Elemento 4423: 6.87883
Elemento 4424: 6.87891
Elemento 4425: 6.87989
Elemento 4426: 6.88016
Elemento 4427: 6.88019
Elemento 4428: 6.88033
Elemento 4429: 6.88061
Elemento 4430: 6.88061
Elemento 4431: 6.88132
Elemento 4432: 6.88141
Elemento 4433: 6.88143
Elemento 4434: 6.88149
Elemento 4435: 6.88155
Elemento 4436: 6.88203
Elemento 4437: 6.88209
Elemento 4438: 6.88222
Elemento 4439: 6.88256
Elemento 4440: 6.88266
Elemento 4441: 6.88275
Elemento 4442: 6.883
Elemento 4443: 6.88362
Elemento 4444: 6.88366
Elemento 4445: 6.88528
Elemento 4446: 6.88541
Elemento 4447: 6.88546
Elemento 4448: 6.88554
Elemento 4449: 6.88556
Elemento 4450: 6.88566
Elemento 4451: 6.88589
